App Name,Publisher,Link,Full Description,Shared Data,Collected Data,Security Practices
PolyBuzz:formerly Poly.AI,CLOUD WHALE INTERACTIVE TECHNOLOGY LLC.,https://play.google.com/store/apps/details?id=ai.socialapps.speakmaster,"Chat & engage with your anime friends and start a rizz story anytime, anywhere",Location,"Financial info, Audio, App info and performance, App activity, Personal info, Device or other IDs, Photos and videos","Data is encrypted in transit, You can request that data be deleted"
Talkie: Creative AI Community,SUBSUP,https://play.google.com/store/apps/details?id=com.weaver.app.prod,Unleash Your AI Imagination,App activity,,"Data is encrypted in transit, You can request that data be deleted"
Chai: Chat AI Platform,Chai Research Corp.,https://play.google.com/store/apps/details?id=com.Beauchamp.Messenger.external,Build and Share AI,"App info and performance, App activity, Personal info, Financial info, Device or other IDs","App info and performance, App activity, Personal info, Financial info, Device or other IDs, Messages","Data is encrypted in transit, You can request that data be deleted"
ChatGPT,OpenAI,https://play.google.com/store/apps/details?id=com.openai.chatgpt,The official app by OpenAI,Device or other IDs,"Personal info, App activity, Location, Messages, App info and performance","Data is encrypted in transit, You can request that data be deleted"
"Character AI: Chat, Talk, Text",Character.AI,https://play.google.com/store/apps/details?id=ai.character.app,"Super-intelligent AI chat bots that hear you, understand you, and remember you.",,"Device or other IDs, App activity, Personal info, App info and performance","Data is encrypted in transit, You can request that data be deleted"
BALA AI: Character AI Chat App,Pallar Media Limited,https://play.google.com/store/apps/details?id=com.bala.ai.android,"Character AI Chat, AI Assistant & Copilot App, Make AI Friends, Text, Talk To AI",App info and performance,"Personal info, Photos and videos","Data is encrypted in transit, You can request that data be deleted"
Google Gemini,Google LLC,https://play.google.com/store/apps/details?id=com.google.android.apps.bard,"Chat to start writing, planning, learning and more with Google AI",,"Contacts, Audio, Messages, Web browsing, Personal info, Location, App info and performance, Financial info, Photos and videos, Device or other IDs, Calendar, Files and docs, App activity","Data is encrypted in transit, You can request that data be deleted"
"Linky AI: Chat, Play, Connect",Skywork AI Pte. Ltd.,https://play.google.com/store/apps/details?id=com.aigc.ushow.ichat,"Linky, an unprecedented AI chatbot, brings influencers to your real world!","App activity, Device or other IDs","Personal info, App info and performance, App activity, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
Question.AI - Chatbot&Math AI,D3 DIMENSION TECHNOLOGY PTE.LTD.,https://play.google.com/store/apps/details?id=com.qianfan.aihomework,Chatbot: Scan&Ask AI Assistant Anything and Get Instant Answer with ChatGPT&GPT4,Location,"Personal info, Location, Photos and videos, Files and docs, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
Perplexity - Ask Anything,PerplexityAI,https://play.google.com/store/apps/details?id=ai.perplexity.app.android,The most powerful answer engine powered by AI.,"Device or other IDs, App info and performance","Personal info, App activity, Financial info, Device or other IDs, App info and performance, Location","Data is encrypted in transit, You can request that data be deleted"
​​Microsoft Copilot,Microsoft Corporation,https://play.google.com/store/apps/details?id=com.microsoft.copilot,Calm. Confident. Copilot. Here to help. A companion for every moment.,,,"Data is encrypted in transit, You can request that data be deleted"
Dopple.AI,Dopple,https://play.google.com/store/apps/details?id=mobile.dopple.ai,"Engage with custom AI bots, explore, create yours and enjoy endless chats.",Personal info,"App activity, Photos and videos, Device or other IDs, App info and performance, Personal info, Audio","Data is encrypted in transit, You can request that data be deleted"
Answer.AI - Your AI tutor,AnswerAI Lab,https://play.google.com/store/apps/details?id=com.cyberdavinci.gptkeyboard,Scan and Get Instant Answers on Your Phone,Personal info,"App activity, Device or other IDs, App info and performance","Data is encrypted in transit, You can request that data be deleted"
Ask AI - Chat with AI Chatbot,Codeway Dijital,https://play.google.com/store/apps/details?id=com.codeway.chatapp,"Chatbot & Smart Assistant, now powered by DeepSeek API",,"App activity, Location, App info and performance, Device or other IDs","Data is encrypted in transit, Data can’t be deleted"
Poe - Fast AI Chat,"Quora, Inc.",https://play.google.com/store/apps/details?id=com.poe.android,"Ask questions and get answers from advanced AIs like GPT-3.5, GPT-4, or Claude 3",,"Files and docs, Device or other IDs, Photos and videos, Personal info, App activity, App info and performance","Data is encrypted in transit, You can request that data be deleted"
ChatOn - AI Chat Bot Assistant,AIBY Inc.,https://play.google.com/store/apps/details?id=ai.chat.gpt.bot,"Ask AI chatbot assistant, get smart helper’s advice & craft texts with AI writer","Device or other IDs, App info and performance, App activity, Financial info, Location","Personal info, Device or other IDs, App info and performance, App activity, Financial info, Location","Data is encrypted in transit, You can request that data be deleted"
Replika: My AI Friend,"Luka, Inc",https://play.google.com/store/apps/details?id=ai.replika.app,Create your personal AI companion and talk about anything that's on your mind,"Device or other IDs, App activity","Device or other IDs, App info and performance, App activity, Personal info","Data is encrypted in transit, You can request that data be deleted"
Merlin AI: AI Chat Assistant,Merlin AI,https://play.google.com/store/apps/details?id=com.foyer.merlin,"AI chat assistant with ChatGPT, DeepSeek, Gemini & Claude all in one app.",,"App activity, App info and performance, Personal info","Data is encrypted in transit, You can request that data be deleted"
Emochi: Chat With Character,FlowGPT,https://play.google.com/store/apps/details?id=com.flow.mobile,"Chat with AI characters! Anime, games, roleplay & more.",Device or other IDs,"App info and performance, App activity, Personal info","Data is encrypted in transit, You can request that data be deleted"
AI Dungeon,Latitude Inc.,https://play.google.com/store/apps/details?id=com.aidungeon,Explore AI-driven interactive fiction and roleplay any scenario in AI Dungeon!,,"App activity, Personal info, Device or other IDs, App info and performance","Data is encrypted in transit, You can request that data be deleted"
AI Chatbot - Nova,ScaleUp,https://play.google.com/store/apps/details?id=com.scaleup.chatai,AI Chatbot powered by the latest AI models. Ask Nova AI to write anything.,"App info and performance, Device or other IDs, App activity","Messages, Files and docs, Financial info, App info and performance, Device or other IDs, App activity, Photos and videos, Personal info","Data isn’t encrypted, You can request that data be deleted"
