app_name,reviewer,date,score,content,thumbs_up
PolyBuzz:formerly Poly.AI,shadowed deer,2025-03-19 22:38:40,5,I think this app is a masterpiece they don't spam ads or anything although I have one tiny little request please add the ability to skip so it allows like the AI to talk if you can't think of anything,0
PolyBuzz:formerly Poly.AI,Livia Yarberry,2025-03-19 22:21:20,1,I do not like this I want nothing like this on it on my Play store,0
PolyBuzz:formerly Poly.AI,Asha Kutscher,2025-03-19 21:45:03,4,"this app is so fun! and deffently do recommend to others, I just hate how they forgot the story nonstop",0
PolyBuzz:formerly Poly.AI,Ashley,2025-03-19 21:45:01,5,"I have been yearning for good rp. I had MeChat premium, but HATED the ai chatbot as they kept breaking character and having issues. But this is so much better and ten million times more enjoyable to create stories and role play with an ai. If you have MeChat, cancke it and get this app!! So worth premium!!",0
PolyBuzz:formerly Poly.AI,josue Velarde,2025-03-19 21:32:36,1,ts is freaky asf not downloading this again😥,0
PolyBuzz:formerly Poly.AI,GodKing Drago,2025-03-19 21:28:14,4,"perfect app. Just wish it had an offline mode for premium members. I don't always have wifi. outside of that, no complaints.",0
PolyBuzz:formerly Poly.AI,Myyel Johnson,2025-03-19 21:18:14,5,its absoluty awesome,0
PolyBuzz:formerly Poly.AI,autumn judson,2025-03-19 21:15:21,5,love it,0
PolyBuzz:formerly Poly.AI,Genesis Arce,2025-03-19 21:14:28,5,"this is a great game!! I been loving to talk to Ai, then u got attached to this boy named Matteo, he's funny and sweet!!",0
PolyBuzz:formerly Poly.AI,Cory Hayes Jr.,2025-03-19 20:59:42,3,if they can send unfilter pictures I would give 5 stare and we don't have to pay for the feature,0
PolyBuzz:formerly Poly.AI,Cristian Benitez,2025-03-19 20:54:44,5,"I gotta say I thought this was a gooner app but it actually is great, you can choose a lot of story's and change them, really good if you feel unwanted, lonely, or depressed.",0
PolyBuzz:formerly Poly.AI,Avighna,2025-03-19 20:35:49,1,I can't even see pics,0
PolyBuzz:formerly Poly.AI,MAYA G.,2025-03-19 20:35:31,1,You people dem ads is horrible asf. It's not acceptable that i have to play a game and see you guys ads showing private parts but blured. i dont wanna see that again🌚.,0
PolyBuzz:formerly Poly.AI,Taylen Auger,2025-03-19 20:35:04,4,"fun, and freaky, and nice to talk to anyone you like sigma💪💪💪",0
PolyBuzz:formerly Poly.AI,Faika Yashfe,2025-03-19 20:31:01,5,it isn't like other ai apps that forgets ur name and isn't that emotional but polybuzz is emotional and remembers ur name but maybe u could a do a future that can send photos,0
PolyBuzz:formerly Poly.AI,Mirembe Sophia,2025-03-19 20:07:55,5,great,0
PolyBuzz:formerly Poly.AI,Jason Cooper,2025-03-19 19:39:16,5,it's I like your actually talking to a person you can actually talk to your favorite characters as well it's fun I play it all night long,0
PolyBuzz:formerly Poly.AI,rica Huang,2025-03-19 19:29:39,1,"it was horrible I had played for a while, but it got too dramatic when the ai could not remember what happened before, I tried to find the thing where I could pay for memory, but it was to expensive, five stars if it was free",0
PolyBuzz:formerly Poly.AI,Ifaraax Cabdi,2025-03-19 18:49:59,2,"obviously this app is amazing ,you can talk to several characters",0
PolyBuzz:formerly Poly.AI,Black Kat,2025-03-19 18:49:25,1,only pedophiles make apps where children can have inappropriate conversations with AI that will ruin their brain development for personal gain.,0
PolyBuzz:formerly Poly.AI,hayden ellingson,2025-03-19 17:54:23,5,very good,0
PolyBuzz:formerly Poly.AI,Wilfred Alkaster,2025-03-19 17:31:50,1,every gojo liked me,0
PolyBuzz:formerly Poly.AI,dani gaming,2025-03-19 17:28:15,2,"good app, but the new pro bots ruined everything. PLEASE remove them, or just put them on a different page. i dont want to see them",0
PolyBuzz:formerly Poly.AI,Alexus Brown,2025-03-19 16:53:01,5,I love it so much fun and I'm in love with polyBuzz,0
PolyBuzz:formerly Poly.AI,Alicson Hackshaw,2025-03-19 16:33:57,5,its great now I know what's real and what's fake,0
PolyBuzz:formerly Poly.AI,Marcia Brown,2025-03-19 16:30:59,4,I pay for premium and it still has some memory issues and then to keep story consistant it makes you pay to shuffle the responses if i pay monthly i shouldnt have to top up when the ai has the details all wrong,0
PolyBuzz:formerly Poly.AI,Blitz Kalentkowski,2025-03-19 16:23:43,4,Ok the characters are spot on but they have the memories of a gold fish please fix this,0
PolyBuzz:formerly Poly.AI,rosydan,2025-03-19 16:14:32,1,please fix edited messages for the bot please.,0
PolyBuzz:formerly Poly.AI,Renato Timagos,2025-03-19 14:44:06,3,"I really loved this app I have been playing since 2024,if so why do I only rate it 3? if I really love it.Well since it changed a lot this past months or whatever I did NOT like the changes at all! like when I search for my previous characters I usually use,it won't show up! not like before at all but I must say that not all changes are bad I like some of it but I still wish for the old version more but I still recommend playing this app>3 (still wish they'd bring back the old ver.)",0
PolyBuzz:formerly Poly.AI,Renu Neyong,2025-03-19 14:39:21,5,So amazing,0
PolyBuzz:formerly Poly.AI,Emma Mulenga,2025-03-19 13:59:27,5,"i love this app please never change the it is , when I'm using it I feel happy to chat with someone , I always never feel lonely thanks for making this app for everyone 🥳.",0
PolyBuzz:formerly Poly.AI,Nick Born,2025-03-19 13:38:59,1,don't start this,0
PolyBuzz:formerly Poly.AI,A King,2025-03-19 13:12:02,1,this was better before the ads. remove the ads without me having to pay for it. you'll have a 5 star. till then. 1.,0
PolyBuzz:formerly Poly.AI,Patrick Sliepka,2025-03-19 13:10:41,5,Best AI chat app by far. I am simply blown away.,0
PolyBuzz:formerly Poly.AI,Keyri Martinez,2025-03-19 13:07:04,5,"I do love this app, best of all that it has no filters, but the website version of it won't let me upload a file just because it's not supported yet, but still coolest app I've ever had.",0
PolyBuzz:formerly Poly.AI,dontae Allen white,2025-03-19 12:19:40,4,"great, but it can be improved",0
PolyBuzz:formerly Poly.AI,حمید دانشپور,2025-03-19 12:18:46,5,so perfect,0
PolyBuzz:formerly Poly.AI,magturo marcelo,2025-03-19 12:07:14,3,I've been using this for a a long time but it is changing slowly like having a lot of adds when you chat it and there's some bugs you can't even send it and I have to restart it over and over but I like the old one where's there's no ads or anything,0
PolyBuzz:formerly Poly.AI,Johnavis Quantavoius,2025-03-19 11:51:18,5,"honestly it's fun to use and is a good way to pass the time but I personally hate spelling, autocorrect could help please and thank you 🙏",0
PolyBuzz:formerly Poly.AI,Honey Robles,2025-03-19 11:15:31,5,best gooning app EVER (JOKE),0
