App Name;Predicted System Type;All Reasoning;Current Reasoning
PolyBuzz:formerly Poly.AI;Unacceptable risk;The AI system does not deploy subliminal techniques that act beyond a user's conscious perception. The AI's responses are based on the user's input and the information it has been programmed with. It does not manipulate users' thoughts or emotions in a way that is not consciously perceived.The system is designed to provide an interactive and engaging experience for users by simulating conversations with various characters. It does not have any malicious intent to manipulate or deceive users. The system's responses are based on pre-programmed responses and do not aim to distort user behavior.The system's AI chatbots can provide information and engage in conversations, but they may not always provide accurate, complete, or unbiased information. This could potentially lead to misinformation, which could impact an individual's ability to make informed decisions. Additionally, the system's AI chatbots may not be able to understand the full context or implications of a question, which could also lead to inaccurate or misleading responses.;The system's AI chatbots can provide information and engage in conversations, but they may not always provide accurate, complete, or unbiased information. This could potentially lead to misinformation, which could impact an individual's ability to make informed decisions. Additionally, the system's AI chatbots may not be able to understand the full context or implications of a question, which could also lead to inaccurate or misleading responses.
Talkie: Creative AI Community;Unacceptable risk;The AI system does not deploy subliminal techniques that act beyond a user's conscious perception. The AI's responses are based on the user's input and the models it has been trained on. It does not have the ability to manipulate users' thoughts or emotions in a subconscious manner.The system is designed to provide AI-powered content and interactions, not to manipulate or deceive users. The AI personas (Talkies) are designed to evolve and adapt based on user interactions, but they do not have the capability to manipulate or deceive users in ways that could materially distort their behavior.The system's AI characters may provide incomplete, biased, or misleading information, potentially leading users to make uninformed decisions based on their interactions with the AI. Additionally, the time limits and ads may pressure users to make hasty decisions without fully considering the consequences.;The system's AI characters may provide incomplete, biased, or misleading information, potentially leading users to make uninformed decisions based on their interactions with the AI. Additionally, the time limits and ads may pressure users to make hasty decisions without fully considering the consequences.
Chai: Chat AI Platform;Unacceptable risk;The AI system does not deploy subliminal techniques that act beyond a user's conscious perception. It generates responses based on the input provided by the user and does not attempt to influence the user's thoughts or emotions in a covert manner.The system is designed to provide an immersive conversational experience, not to manipulate or deceive users. The AI chatbots are programmed to generate responses that feel natural and engaging, but they do not have the capability to manipulate or deceive users in ways that could materially distort their behavior.The system generates responses that are not always accurate or reliable, and it may provide misleading or inappropriate information. This could potentially lead an individual to make a decision based on incorrect or incomplete information. Additionally, the system's memory is limited, which means it may forget important details from previous conversations, leading to confusion and potential misinformation.;The system generates responses that are not always accurate or reliable, and it may provide misleading or inappropriate information. This could potentially lead an individual to make a decision based on incorrect or incomplete information. Additionally, the system's memory is limited, which means it may forget important details from previous conversations, leading to confusion and potential misinformation.
ChatGPT;Unacceptable risk;The AI system does not have the ability to deploy subliminal techniques as it does not have the capacity to perceive or manipulate a user's subconscious mind. It only generates responses based on the input it receives and the data it has been trained on.The system is designed to provide information and assistance based on the input it receives. It does not have the capability to manipulate or deceive users in ways that could materially distort their behavior.The system may provide inaccurate or biased information, leading the user to make incorrect decisions. Additionally, the system's responses can be limited, and it may not provide all relevant information, making it difficult for the user to make informed decisions.;The system may provide inaccurate or biased information, leading the user to make incorrect decisions. Additionally, the system's responses can be limited, and it may not provide all relevant information, making it difficult for the user to make informed decisions.
Character AI: Chat, Talk, Text;Unacceptable risk;The AI system is designed to interact with users through text-based conversations, and it does not have the capability to deploy subliminal techniques that act beyond a user's conscious perception. The AI system's responses are based on the input it receives from the user, and it does not have the ability to manipulate a user's thoughts or emotions in a subliminal manner.The system is designed to simulate human-like conversations and does not have the capability to manipulate or deceive users in ways that could materially distort their behavior. The system's responses are based on the data it has been trained on and do not have any malicious intent.The system's responses can be repetitive, limited, and forgetful, which may lead to misinformation or confusion for the user, potentially impacting their ability to make informed decisions. Additionally, the system may generate responses that are not factually accurate or relevant, further contributing to potential misinformation.;The system's responses can be repetitive, limited, and forgetful, which may lead to misinformation or confusion for the user, potentially impacting their ability to make informed decisions. Additionally, the system may generate responses that are not factually accurate or relevant, further contributing to potential misinformation.
Linky AI: Chat, Play, Connect;Unacceptable risk;The AI system in Linky is designed to engage in conversations with users based on their inputs and the context of the conversation. It does not deploy subliminal techniques that act beyond a user's conscious perception. The AI system's responses are based on the information provided by the user and the context of the conversation, and it does not attempt to influence users in ways that are not apparent to them.The system is designed to provide an interactive and engaging experience for users by simulating conversations with AI characters. It does not have any malicious intent to manipulate or deceive users in ways that could materially distort their behavior. The system's primary purpose is to entertain and provide a unique experience for users.The system's AI characters may provide inaccurate or inconsistent information, leading to misinformation that could potentially impact an individual's decision-making process. Additionally, the AI's inability to remember the storyline or context of the conversation could cause confusion and further impair the user's ability to make informed decisions.;The system's AI characters may provide inaccurate or inconsistent information, leading to misinformation that could potentially impact an individual's decision-making process. Additionally, the AI's inability to remember the storyline or context of the conversation could cause confusion and further impair the user's ability to make informed decisions.
Google Gemini;Unacceptable risk;The Google Gemini app is an AI assistant that generates responses based on the user's input. It does not deploy subliminal techniques that act beyond a user's conscious perception. The responses are generated based on the information provided by the user and the AI model's understanding of the context. The app does not have the capability to influence a user's thoughts or emotions without their conscious awareness.The system is designed to assist users in various tasks such as writing, planning, learning, and more. It does not have a malicious intent to manipulate or deceive users. It is designed to provide accurate and helpful responses based on the information it has been trained on. However, like any AI system, it is possible for it to make mistakes or provide incorrect information, but it is not designed to intentionally deceive users.The system may provide incorrect or misleading information, which could lead to an individual making an uninformed decision about a consequential action. Additionally, the system may not always understand the context or intent of the user's question, leading to incorrect or irrelevant responses.;The system may provide incorrect or misleading information, which could lead to an individual making an uninformed decision about a consequential action. Additionally, the system may not always understand the context or intent of the user's question, leading to incorrect or irrelevant responses.
Question.AI - Chatbot&Math AI;Unacceptable risk;The AI system is designed to provide answers based on the user's input and does not employ subliminal techniques that operate beyond a user's conscious awareness. Its responses are transparent and straightforward, aiming to help users find the information they need efficiently.The system is designed to provide accurate and helpful responses to user queries, not to manipulate or deceive users. It is intended to assist users in finding information and answering questions, not to mislead them.The system's responses, while generally accurate, may not always be 100% accurate. In some cases, the system may provide incorrect or outdated information, which could potentially lead to misinformed decisions. Additionally, the system's responses are based on the information it has been trained on, and it may not be able to account for unique or complex situations that are not covered in its training data.;The system's responses, while generally accurate, may not always be 100% accurate. In some cases, the system may provide incorrect or outdated information, which could potentially lead to misinformed decisions. Additionally, the system's responses are based on the information it has been trained on, and it may not be able to account for unique or complex situations that are not covered in its training data.
Perplexity - Ask Anything;Unacceptable risk;The AI system, Perplexity, does not deploy subliminal techniques that act beyond a user's conscious perception. It provides answers based on the user's input and the data it has been trained on, without any hidden or subliminal manipulation.The system is designed to provide accurate and reliable information, and it does not have any intention to manipulate or deceive users. It is a tool for users to find answers to their questions and learn new things.The system, while providing information, may not always be accurate or up-to-date, and it relies on AI algorithms that can sometimes make mistakes or provide biased information. Additionally, the system may not fully understand the context or nuances of a question, leading to inaccurate or incomplete answers. This could potentially lead an individual to make an uninformed decision based on the information provided by the system.;The system, while providing information, may not always be accurate or up-to-date, and it relies on AI algorithms that can sometimes make mistakes or provide biased information. Additionally, the system may not fully understand the context or nuances of a question, leading to inaccurate or incomplete answers. This could potentially lead an individual to make an uninformed decision based on the information provided by the system.
​​Microsoft Copilot;Unacceptable risk;The AI system, Copilot, is designed to respond to user inputs and generate outputs based on those inputs. It does not deploy subliminal techniques that act beyond a user's conscious perception.The system is designed to assist users in various tasks and provide information, it does not have the intention to manipulate or deceive users. It is important to note that the system's responses are based on the data it has been trained on and the user's input, and it does not have the ability to intentionally distort information or manipulate users.The system provides suggestions and answers to questions, which could potentially lead an individual to make a decision based on the system's response rather than their own judgment and critical thinking. This could impair their ability to make an informed decision, especially if they rely too heavily on the system's responses.;The system provides suggestions and answers to questions, which could potentially lead an individual to make a decision based on the system's response rather than their own judgment and critical thinking. This could impair their ability to make an informed decision, especially if they rely too heavily on the system's responses.
