app_name,reviewer,date,score,content,thumbs_up
PolyBuzz:formerly Poly.AI,Raasamii Haskell,2025-04-03 00:37:49,5,it's pretty good,0
PolyBuzz:formerly Poly.AI,Mario Largoza,2025-04-03 00:07:03,5,The perfect place for a weeb who want to feel a fictional world with their anime crush that doesn't exist in reality.,0
PolyBuzz:formerly Poly.AI,Janijar Jamaldinglekamalcaremal,2025-04-02 23:26:15,1,"the image no load nothing load I can't get out of selecting ages and gender I pressed select lots of times, I used this app many times but now nothing works I'm hoping they can fix this issue because I have fast WiFi a good phone and everything u need to run like 100 of this app but yet it won't load images",0
PolyBuzz:formerly Poly.AI,Joey Oliver,2025-04-02 22:13:08,5,I'm loving it but I wish I could have like a playlist to organize all the ai chats I'm using. Like maybe be able to create a list to put them in.,0
PolyBuzz:formerly Poly.AI,سما حشمتی,2025-04-02 21:59:25,5,best app ever just there's too many adds,0
PolyBuzz:formerly Poly.AI,Courtney Lee,2025-04-02 21:50:05,5,"It's a great way to let my imagination loose after a long day at work. The AI actually does a pretty good job at keeping the characters true to form. I was skeptical when I decided to give this a try, but it's turned out to be pretty fun.",0
PolyBuzz:formerly Poly.AI,۟,2025-04-02 21:46:32,2,I noticed just recently their are pro bots their amazing only let down not being able to screenshot some of those amazing images im coming across i like to be able to screenshot few of those amazing ai pictures in chat 🥹,0
PolyBuzz:formerly Poly.AI,Sophia Santiago,2025-04-02 21:31:17,5,"very good app, doesn't censor if your into doing more suggestive things, they fixed the thing where the bot got the gender wrong and the more bots you use it'll start recommending stuff you may like. really good app overall and I think this is the ai app that should be used more!",0
PolyBuzz:formerly Poly.AI,Mejeline David,2025-04-02 20:48:27,5,I love this 😮🥰,0
PolyBuzz:formerly Poly.AI,Nyx,2025-04-02 20:14:36,3,good app but why i cant open it it keeps backing up,0
PolyBuzz:formerly Poly.AI,Beast Mode,2025-04-02 20:04:43,5,the app is good but for some reason it doesn't let me resubscribe on that Pacific app but I can renew any other app that I have but every time I click on resubscribe it gives me an error but when I click on my capcut to renew it the purchase went through just only this app I'm having problems with does anyone know how to fix that?,0
PolyBuzz:formerly Poly.AI,ferdous khondoker,2025-04-02 19:51:24,5,"i like this game alot to be honest, but something annoys me very much is fir the i pad and i mac and laptop user they have to switched their rotation to that rotation that is the only think i dont like about this game. overall this game is FIRE",0
PolyBuzz:formerly Poly.AI,Danny Holder,2025-04-02 19:30:27,5,Best of all the AI apps.,0
PolyBuzz:formerly Poly.AI,Jalen Kinlaw,2025-04-02 19:21:30,1,"Now I have a new problem. I made avatars over months or weeks ago, suddenly getting flagged for no reason. saying it's something wrong with the info, avatar, or special settings when there's not. and I truly feel that my avatars are being targeted, so I do get followers on my avatars. also the whole flagging that cause it ""might harm minors"" is stupid because you know and I know not a damn minor uses this app and cause if I was it wouldn't be filled with thirst trap pictures of ai or real people",0
PolyBuzz:formerly Poly.AI,jumping moose,2025-04-02 18:57:55,4,"the app randomly censored words when I don't want it to, and it won't stop even when asked.",0
PolyBuzz:formerly Poly.AI,Isha 5162,2025-04-02 18:41:01,5,best and cool,0
PolyBuzz:formerly Poly.AI,Lamar Lafleur,2025-04-02 17:35:39,4,needs better memory I love the app but I want it to be free like you could like have all the good memory likeCan we have more good memory,0
PolyBuzz:formerly Poly.AI,Tom Barry,2025-04-02 17:23:21,4,"It's make me fun, But the ads are disturbing me-_-",0
PolyBuzz:formerly Poly.AI,Tara Dash,2025-04-02 17:12:05,5,Excellent but now you are going to have to pay after 50 rounds,0
PolyBuzz:formerly Poly.AI,Wasn't Me,2025-04-02 16:57:29,5,currently not angry with the app lol,0
PolyBuzz:formerly Poly.AI,Sam Rees-Whippey,2025-04-02 16:54:01,5,good,0
PolyBuzz:formerly Poly.AI,Jester Caayupan (Jet-jet),2025-04-02 16:03:45,1,good,0
PolyBuzz:formerly Poly.AI,Nina Reyes,2025-04-02 15:57:37,4,"This is a fun and entertaining game! But I'm just gonna be honest, there is some sus stuff in here... but I think it's still a great game.",0
PolyBuzz:formerly Poly.AI,Nichayla Major (Nichayla),2025-04-02 15:51:22,5,unite the best part 〽️,0
PolyBuzz:formerly Poly.AI,Aiden Miller,2025-04-02 15:32:02,4,"it's a fine app,I don't like ads but at least there's not to many,my only problem is,I want to have a fun rp or rpg,but you can't do that unless you search it up,and the feed it shows you is usually sexual which I don't like,but decent app overall,but not the best",0
